城市,首次发布时间,标准品牌,标准车系,站点,成份车商名,来源,天眼属性
福州,2017/6/30 15:07,别克,凯越HRV,淘车,,,
漳州,2017/6/30 15:02,别克,凯越,273,,,
佛山,2017/6/30 15:01,别克,凯越,淘车,看车网（佛山）,看车网,2
广州,2017/6/30 14:55,别克,凯越,搜狐,,,
西安,2017/6/30 14:50,别克,凯越,淘车,,,
厦门,2017/6/30 14:49,别克,凯越,百姓,,,
杭州,2017/6/30 14:48,别克,凯越,二手车之家,浙江申通汽车有限公司,线下推广,0
武汉,2017/6/30 14:48,别克,凯越,淘车,,,
深圳,2017/6/30 14:46,别克,凯越,百姓,,,
绍兴,2017/6/30 14:37,别克,凯越,华夏二手车,,,
本溪,2017/6/30 14:35,别克,凯越,大搜车,,,
福州,2017/6/30 14:34,别克,凯越,淘车,,,
西安,2017/6/30 14:26,别克,凯越,淘车,,,
沈阳,2017/6/30 14:25,别克,凯越,淘车,,,
济南,2017/6/30 14:24,别克,凯越,淘车,看车网（济南）,看车网,2
泉州,2017/6/30 14:20,别克,凯越,273,,,
临沂,2017/6/30 14:17,别克,凯越,淘车,看车网（临沂）,看车网,2
宁波,2017/6/30 14:09,别克,凯越,百姓,,,
沈阳,2017/6/30 14:07,别克,凯越,淘车,,,
邯郸,2017/6/30 14:04,别克,凯越,百姓,,,
昆山,2017/6/30 14:01,别克,凯越HRV,百姓,,,
成都,2017/6/30 14:00,别克,凯越,百姓,,,
南通,2017/6/30 13:59,别克,凯越,淘车,看车网（南通）,看车网,2
潍坊,2017/6/30 13:56,别克,凯越,二手车之家,,,
鞍山,2017/6/30 13:55,别克,凯越,二手车之家,,,
上海,2017/6/30 13:48,别克,凯越,搜狐,,,
郑州,2017/6/30 13:47,别克,凯越,上海通用,河南众通商务有限公司,上汽通用别克,3
合肥,2017/6/30 13:46,别克,凯越,二手车之家,,,
杭州,2017/6/30 13:45,别克,凯越,二手车之家,,,
运城,2017/6/30 13:44,别克,凯越旅行车,百姓,,,
